student id,task
student_22,task_2
student_25,task_4
student_20,task_3
student_27,task_2
student_8,task_3
student_19,task_4
student_20,task_0
student_11,task_1
student_13,task_3
student_3,task_3
student_1,task_8
student_3,task_2
student_19,task_4
student_24,task_6
student_20,task_0
student_7,task_2
student_3,task_3
student_20,task_0
student_16,task_1
student_27,task_2
student_8,task_3
student_13,task_3
student_6,task_1
student_11,task_1
student_3,task_3
student_5,task_0
student_7,task_2
student_20,task_0
student_20,task_0
student_3,task_3
student_11,task_1
student_3,task_7
student_25,task_0
student_10,task_0
student_19,task_4
student_12,task_2
student_20,task_7
student_2,task_4
student_22,task_2
student_11,task_7
student_8,task_3
student_19,task_4
student_11,task_0
student_9,task_2
student_8,task_3
student_29,task_1
student_7,task_2
student_14,task_4
student_20,task_0
student_7,task_2
student_4,task_4
student_23,task_7
student_20,task_0
student_19,task_4
student_8,task_3
student_29,task_4
student_1,task_1
student_7,task_2
student_7,task_2
student_24,task_4
student_23,task_2
student_9,task_4
student_20,task_6
student_20,task_0
student_22,task_2
student_15,task_0
student_3,task_9
student_29,task_3
student_25,task_4
student_20,task_0
student_22,task_2
student_0,task_0
student_11,task_1
student_27,task_2
student_25,task_0
student_25,task_0
student_20,task_9
student_25,task_0
student_6,task_1
student_28,task_3
student_12,task_2
student_24,task_2
student_12,task_2
student_21,task_3
student_10,task_0
student_22,task_2
student_11,task_1
student_20,task_7
student_7,task_2
student_5,task_0
student_21,task_1
student_20,task_9
student_28,task_4
student_22,task_6
student_13,task_3
student_10,task_0
student_24,task_4
student_20,task_2
student_13,task_0
student_5,task_0
student_27,task_1
student_0,task_0
student_13,task_9
student_14,task_9
student_12,task_2
student_9,task_5
student_13,task_3
student_20,task_2
student_24,task_4
student_29,task_4
student_7,task_2
student_20,task_0
student_28,task_3
student_28,task_3
student_5,task_8
student_22,task_2
student_16,task_1
student_23,task_3
student_22,task_4
student_20,task_0
student_20,task_0
student_14,task_4
student_13,task_3
student_20,task_0
student_13,task_3
student_29,task_4
student_5,task_0
student_16,task_1
student_7,task_8
student_7,task_2
student_7,task_2
student_3,task_3
student_17,task_2
student_20,task_0
student_7,task_2
student_28,task_9
student_20,task_0
student_23,task_3
student_5,task_0
student_6,task_1
student_16,task_1
student_23,task_3
student_20,task_0
student_3,task_3
student_22,task_2
student_20,task_0
student_23,task_3
student_8,task_3
student_13,task_3
student_20,task_6
student_23,task_3
student_7,task_2
student_23,task_3
student_25,task_0
student_7,task_2
student_13,task_1
student_14,task_5
student_6,task_1
student_28,task_3
student_2,task_2
student_20,task_0
student_3,task_3
student_24,task_4
student_27,task_2
student_11,task_1
student_8,task_1
student_8,task_9
student_13,task_3
student_28,task_3
student_27,task_6
student_13,task_3
student_29,task_4
student_20,task_0
student_23,task_3
student_7,task_9
student_5,task_0
student_13,task_3
student_4,task_4
student_25,task_0
student_8,task_7
student_17,task_2
student_19,task_4
student_10,task_2
student_25,task_0
student_1,task_1
student_29,task_4
student_16,task_3
student_27,task_2
student_29,task_4
student_20,task_0
student_6,task_1
student_6,task_1
student_13,task_3
student_25,task_0
student_23,task_3
student_13,task_9
student_3,task_4
student_11,task_1
student_11,task_1
student_9,task_4
student_13,task_9
student_13,task_3
student_13,task_0
student_29,task_4
student_8,task_3
student_15,task_0
student_25,task_0
student_16,task_1
student_13,task_3
student_13,task_5
student_23,task_3
student_19,task_5
student_5,task_0
student_27,task_2
student_8,task_3
student_25,task_1
student_7,task_2
student_24,task_4
student_21,task_1
student_13,task_3
student_29,task_4
student_9,task_4
student_7,task_0
student_27,task_2
student_16,task_2
student_7,task_2
student_9,task_4
student_13,task_0
student_25,task_0
student_16,task_1
student_19,task_4
student_18,task_3
student_29,task_4
student_11,task_1
student_14,task_4
student_28,task_3
student_5,task_0
student_14,task_5
student_22,task_2
student_25,task_6
student_3,task_3
student_20,task_6
student_13,task_3
student_13,task_3
student_0,task_0
student_3,task_1
student_17,task_7
student_3,task_3
student_21,task_1
student_24,task_4
student_7,task_2
student_0,task_0
student_8,task_3
student_0,task_2
student_7,task_2
student_19,task_4
student_25,task_3
student_28,task_3
student_20,task_0
student_5,task_0
student_13,task_3
student_11,task_1
student_5,task_0
student_29,task_0
student_26,task_1
student_8,task_3
student_11,task_2
student_4,task_4
student_2,task_2
student_0,task_0
student_20,task_0
student_3,task_4
student_1,task_1
student_8,task_3
student_25,task_0
student_19,task_4
student_28,task_3
student_6,task_9
student_25,task_8
student_6,task_1
student_20,task_0
student_20,task_0
student_20,task_3
student_13,task_3
student_25,task_0
student_28,task_3
student_10,task_0
student_5,task_0
student_24,task_4
student_21,task_1
student_7,task_6
student_23,task_3
student_13,task_3
student_12,task_2
student_24,task_4
student_7,task_2
student_16,task_9
student_3,task_3
student_0,task_0
student_1,task_1
