group,student id,code 1,code 2,code 3,task,task weight
Group 1,2672923117,7.0,123.forming sense of community,12.Socio-emotional interactions,Task 3,1
Group 1,4683644331,7.0,131.Set goals & planning,13.Metacognitive interactions,Task 0,2
Group 1,4683644331,7.0,141. Task distribution,14. Coordinative interactions,Task 9,3
Group 1,4683644331,7.0,110.Offer solutions,11.Cognitive interactions,Task 7,4
Group 1,2672923117,7.0,123.forming sense of community,12.Socio-emotional interactions,Task 9,3
Group 1,0677451636,7.0,110.Offer solutions,11.Cognitive interactions,Task 1,5
Group 1,0677451636,7.0,119.Build on others,11.Cognitive interactions,Task 2,6
Group 1,2672923117,7.0,116.Agree with others,11.Cognitive interactions,Task 8,7
Group 1,2672923117,7.0,123.forming sense of community,12.Socio-emotional interactions,Task 6,8
Group 1,0656284769,7.0,141. Task distribution,14. Coordinative interactions,Task 3,1
Group 1,0656284769,7.0,110.Offer solutions,11.Cognitive interactions,Task 5,9
Group 1,4683644331,8.0,111.Request clarification,11.Cognitive interactions,Task 3,1
Group 1,4683644331,8.0,111.Request clarification,11.Cognitive interactions,Task 0,2
Group 1,4683644331,8.0,110.Offer solutions,11.Cognitive interactions,Task 8,7
Group 1,4683644331,8.0,141. Task distribution,14. Coordinative interactions,Task 0,2
Group 1,2672923117,8.0,135.Evaluate quality of task solution or overall performance,13.Metacognitive interactions,Task 1,5
Group 1,2672923117,8.0,132.Monitor Shared Understanding,11.Cognitive interactions,Task 0,2
Group 1,4683644331,8.0,132.Monitor Shared Understanding,11.Cognitive interactions,Task 5,9
Group 1,0677451636,8.0,110.Offer solutions,11.Cognitive interactions,Task 7,4
Group 1,4683644331,8.0,116.Agree with others,11.Cognitive interactions,Task 2,6
Group 1,0677451636,8.0,138.Evaluate quality of GAI output,13.Metacognitive interactions,Task 7,4
Group 1,4683644331,8.0,131.Set goals & planning,14. Coordinative interactions,Task 4,10
Group 1,4683644331,8.0,134.Monitor Progress,14. Coordinative interactions,Task 0,2
Group 1,0677451636,8.0,110.Offer solutions,11.Cognitive interactions,Task 2,6
Group 1,4683644331,8.0,131.Set goals & planning,13.Metacognitive interactions,Task 1,5
Group 1,4683644331,8.0,118.Solicite feedback,11.Cognitive interactions,Task 8,7
Group 1,0677451636,8.0,116.Agree with others,11.Cognitive interactions,Task 5,9
Group 1,0677451636,8.0,141. Task distribution,14. Coordinative interactions,Task 0,2
Group 1,4683644331,8.0,task division ,14. Coordinative interactions,Task 0,2
Group 1,4683644331,8.0,141. Task distribution,14. Coordinative interactions,Task 4,10
Group 1,0677451636,8.0,116.Agree with others,11.Cognitive interactions,Task 6,8
Group 1,0677451636,8.0,123.forming sense of community,12.Socio-emotional interactions,Task 5,9
Group 1,2672923117,8.0,141. Task distribution,14. Coordinative interactions,Task 8,7
Group 1,0677451636,8.0,116.Agree with others,11.Cognitive interactions,Task 1,5
Group 1,4683644331,8.0,111.Request clarification,11.Cognitive interactions,Task 6,8
Group 1,4683644331,8.0,112.Provide answers,11.Cognitive interactions,Task 3,1
