student id,task,group
student_22,task_2,4
student_25,task_4,5
student_20,task_3,4
student_27,task_2,5
student_8,task_3,1
student_19,task_4,3
student_20,task_0,4
student_11,task_1,2
student_13,task_3,2
student_3,task_3,0
student_1,task_8,0
student_3,task_2,0
student_19,task_4,3
student_24,task_6,4
student_20,task_0,4
student_7,task_2,1
student_3,task_3,0
student_20,task_0,4
student_16,task_1,3
student_27,task_2,5
student_8,task_3,1
student_13,task_3,2
student_6,task_1,1
student_11,task_1,2
student_3,task_3,0
student_5,task_0,1
student_7,task_2,1
student_20,task_0,4
student_20,task_0,4
student_3,task_3,0
student_11,task_1,2
student_3,task_7,0
student_25,task_0,5
student_10,task_0,2
student_19,task_4,3
student_12,task_2,2
student_20,task_7,4
student_2,task_4,0
student_22,task_2,4
student_11,task_7,2
student_8,task_3,1
student_19,task_4,3
student_11,task_0,2
student_9,task_2,1
student_8,task_3,1
student_29,task_1,5
student_7,task_2,1
student_14,task_4,2
student_20,task_0,4
student_7,task_2,1
student_4,task_4,0
student_23,task_7,4
student_20,task_0,4
student_19,task_4,3
student_8,task_3,1
student_29,task_4,5
student_1,task_1,0
student_7,task_2,1
student_7,task_2,1
student_24,task_4,4
student_23,task_2,4
student_9,task_4,1
student_20,task_6,4
student_20,task_0,4
student_22,task_2,4
student_15,task_0,3
student_3,task_9,0
student_29,task_3,5
student_25,task_4,5
student_20,task_0,4
student_22,task_2,4
student_0,task_0,0
student_11,task_1,2
student_27,task_2,5
student_25,task_0,5
student_25,task_0,5
student_20,task_9,4
student_25,task_0,5
student_6,task_1,1
student_28,task_3,5
student_12,task_2,2
student_24,task_2,4
student_12,task_2,2
student_21,task_3,4
student_10,task_0,2
student_22,task_2,4
student_11,task_1,2
student_20,task_7,4
student_7,task_2,1
student_5,task_0,1
student_21,task_1,4
student_20,task_9,4
student_28,task_4,5
student_22,task_6,4
student_13,task_3,2
student_10,task_0,2
student_24,task_4,4
student_20,task_2,4
student_13,task_0,2
student_5,task_0,1
student_27,task_1,5
student_0,task_0,0
student_13,task_9,2
student_14,task_9,2
student_12,task_2,2
student_9,task_5,1
student_13,task_3,2
student_20,task_2,4
student_24,task_4,4
student_29,task_4,5
student_7,task_2,1
student_20,task_0,4
student_28,task_3,5
student_28,task_3,5
student_5,task_8,1
student_22,task_2,4
student_16,task_1,3
student_23,task_3,4
student_22,task_4,4
student_20,task_0,4
student_20,task_0,4
student_14,task_4,2
student_13,task_3,2
student_20,task_0,4
student_13,task_3,2
student_29,task_4,5
student_5,task_0,1
student_16,task_1,3
student_7,task_8,1
student_7,task_2,1
student_7,task_2,1
student_3,task_3,0
student_17,task_2,3
student_20,task_0,4
student_7,task_2,1
student_28,task_9,5
student_20,task_0,4
student_23,task_3,4
student_5,task_0,1
student_6,task_1,1
student_16,task_1,3
student_23,task_3,4
student_20,task_0,4
student_3,task_3,0
student_22,task_2,4
student_20,task_0,4
student_23,task_3,4
student_8,task_3,1
student_13,task_3,2
student_20,task_6,4
student_23,task_3,4
student_7,task_2,1
student_23,task_3,4
student_25,task_0,5
student_7,task_2,1
student_13,task_1,2
student_14,task_5,2
student_6,task_1,1
student_28,task_3,5
student_2,task_2,0
student_20,task_0,4
student_3,task_3,0
student_24,task_4,4
student_27,task_2,5
student_11,task_1,2
student_8,task_1,1
student_8,task_9,1
student_13,task_3,2
student_28,task_3,5
student_27,task_6,5
student_13,task_3,2
student_29,task_4,5
student_20,task_0,4
student_23,task_3,4
student_7,task_9,1
student_5,task_0,1
student_13,task_3,2
student_4,task_4,0
student_25,task_0,5
student_8,task_7,1
student_17,task_2,3
student_19,task_4,3
student_10,task_2,2
student_25,task_0,5
student_1,task_1,0
student_29,task_4,5
student_16,task_3,3
student_27,task_2,5
student_29,task_4,5
student_20,task_0,4
student_6,task_1,1
student_6,task_1,1
student_13,task_3,2
student_25,task_0,5
student_23,task_3,4
student_13,task_9,2
student_3,task_4,0
student_11,task_1,2
student_11,task_1,2
student_9,task_4,1
student_13,task_9,2
student_13,task_3,2
student_13,task_0,2
student_29,task_4,5
student_8,task_3,1
student_15,task_0,3
student_25,task_0,5
student_16,task_1,3
student_13,task_3,2
student_13,task_5,2
student_23,task_3,4
student_19,task_5,3
student_5,task_0,1
student_27,task_2,5
student_8,task_3,1
student_25,task_1,5
student_7,task_2,1
student_24,task_4,4
student_21,task_1,4
student_13,task_3,2
student_29,task_4,5
student_9,task_4,1
student_7,task_0,1
student_27,task_2,5
student_16,task_2,3
student_7,task_2,1
student_9,task_4,1
student_13,task_0,2
student_25,task_0,5
student_16,task_1,3
student_19,task_4,3
student_18,task_3,3
student_29,task_4,5
student_11,task_1,2
student_14,task_4,2
student_28,task_3,5
student_5,task_0,1
student_14,task_5,2
student_22,task_2,4
student_25,task_6,5
student_3,task_3,0
student_20,task_6,4
student_13,task_3,2
student_13,task_3,2
student_0,task_0,0
student_3,task_1,0
student_17,task_7,3
student_3,task_3,0
student_21,task_1,4
student_24,task_4,4
student_7,task_2,1
student_0,task_0,0
student_8,task_3,1
student_0,task_2,0
student_7,task_2,1
student_19,task_4,3
student_25,task_3,5
student_28,task_3,5
student_20,task_0,4
student_5,task_0,1
student_13,task_3,2
student_11,task_1,2
student_5,task_0,1
student_29,task_0,5
student_26,task_1,5
student_8,task_3,1
student_11,task_2,2
student_4,task_4,0
student_2,task_2,0
student_0,task_0,0
student_20,task_0,4
student_3,task_4,0
student_1,task_1,0
student_8,task_3,1
student_25,task_0,5
student_19,task_4,3
student_28,task_3,5
student_6,task_9,1
student_25,task_8,5
student_6,task_1,1
student_20,task_0,4
student_20,task_0,4
student_20,task_3,4
student_13,task_3,2
student_25,task_0,5
student_28,task_3,5
student_10,task_0,2
student_5,task_0,1
student_24,task_4,4
student_21,task_1,4
student_7,task_6,1
student_23,task_3,4
student_13,task_3,2
student_12,task_2,2
student_24,task_4,4
student_7,task_2,1
student_16,task_9,3
student_3,task_3,0
student_0,task_0,0
student_1,task_1,0
